Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","400975.93","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","384646.39","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","400975.9","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","391903.86","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","425922.68","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","423201.53","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","433180.36","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","434540.76","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","424562.11","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","433633.96","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","430005.21","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","411407.94","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","416851.04","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","417758.24","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","425015.71","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","388275.15","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","392810.67","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","400068.15","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","379202.92","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","358337.7","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","374818.2","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","391298.7","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","407779.2","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","407779.2","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","407779.2","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","407779.2","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","407779.2","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","407779.2","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","407779.2","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","407779.2","E","Estimated value"
"RP","Pesticides Use","840","United States of America","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","tonnes","407779.2","E","Estimated value"
